Disease,Category,Symptoms,CommonAgeGroup,Sex,Severity,Specialist,SyntheticTreatment
Appendicitis,Surgical Conditions,"Abdominal pain, Nausea",Teen,Any,Severe,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Tuberculosis,Rare Diseases,"Fatigue, Cough, Night sweats, Weight loss",Adult,Female,Mild,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Tuberculosis,Rare Diseases,"Night sweats, Fatigue",Teen,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Flu,Common Illnesses,"Chills, Body aches, Sore throat",Child,Female,Severe,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Frequent urination, Fatigue",Child,Male,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Eczema,Dermatological,"Itchy skin, Dryness",Adult,Female,Severe,Dermatologist,Consultation and standard treatment protocols
Eczema,Dermatological,"Dryness, Itchy skin, Swelling",Child,Female,Moderate,Dermatologist,Consultation and standard treatment protocols
Diabetes,Chronic Illness,"Increased thirst, Frequent urination, Blurred vision, Fatigue",Adult,Any,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Asthma,Chronic Illness,"Cough, Chest tightness, Shortness of breath, Wheezing",Adult,Female,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Frequent urination, Increased thirst, Blurred vision, Fatigue",Adult,Any,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Heart Attack,Emergency Care,"Sweating, Nausea, Shortness of breath, Chest pain",Elderly,Any,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Appendicitis,Surgical Conditions,"Loss of appetite, Nausea",Child,Male,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Asthma,Chronic Illness,"Shortness of breath, Cough, Chest tightness, Wheezing",Adult,Female,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Blurred vision, Fatigue, Frequent urination, Increased thirst",Child,Female,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Asthma,Chronic Illness,"Shortness of breath, Cough",Elderly,Any,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Eczema,Dermatological,"Dryness, Swelling",Teen,Female,Moderate,Dermatologist,Consultation and standard treatment protocols
Flu,Common Illnesses,"Sore throat, Chills",Child,Male,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems",Teen,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Stroke,Specialized Chronic Diseases,"Vision problems, Confusion, Trouble walking, Numbness",Teen,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
PCOS,Chronic Disorder,"Acne, Irregular periods, Weight gain",Child,Any,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
PCOS,Chronic Disorder,"Acne, Weight gain",Child,Any,Severe,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Diabetes,Chronic Illness,"Blurred vision, Frequent urination",Child,Male,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Asthma,Chronic Illness,"Wheezing, Chest tightness, Shortness of breath, Cough",Elderly,Any,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Tuberculosis,Rare Diseases,"Weight loss, Cough",Teen,Any,Mild,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Mood swings, Poor judgment",Teen,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Memory loss, Poor judgment",Child,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Memory loss, Poor judgment",Teen,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Memory loss, Poor judgment",Adult,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Tuberculosis,Rare Diseases,"Cough, Fatigue, Night sweats, Weight loss",Adult,Male,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Stroke,Specialized Chronic Diseases,"Confusion, Numbness, Trouble walking, Vision problems",Elderly,Male,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Eczema,Dermatological,"Red patches, Itchy skin, Swelling",Adult,Any,Moderate,Dermatologist,Consultation and standard treatment protocols
Eczema,Dermatological,"Swelling, Itchy skin",Elderly,Male,Moderate,Dermatologist,Consultation and standard treatment protocols
Flu,Common Illnesses,"Sore throat, Body aches",Elderly,Male,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Tuberculosis,Rare Diseases,"Cough, Weight loss, Night sweats, Fatigue",Teen,Male,Mild,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Eczema,Dermatological,"Swelling, Red patches",Elderly,Any,Moderate,Dermatologist,Consultation and standard treatment protocols
Eczema,Dermatological,"Dryness, Red patches",Teen,Any,Moderate,Dermatologist,Consultation and standard treatment protocols
Eczema,Dermatological,"Red patches, Swelling, Dryness",Child,Any,Mild,Dermatologist,Consultation and standard treatment protocols
Diabetes,Chronic Illness,"Blurred vision, Increased thirst",Elderly,Male,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Stroke,Specialized Chronic Diseases,"Vision problems, Trouble walking",Adult,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Diabetes,Chronic Illness,"Fatigue, Increased thirst, Blurred vision, Frequent urination",Teen,Male,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Diabetes,Chronic Illness,"Blurred vision, Fatigue, Frequent urination, Increased thirst",Elderly,Any,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment, Confusion, Memory loss",Adult,Male,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Asthma,Chronic Illness,"Chest tightness, Shortness of breath, Cough",Elderly,Male,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain",Child,Any,Mild,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Stroke,Specialized Chronic Diseases,"Vision problems, Trouble walking, Numbness, Confusion",Teen,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Tuberculosis,Rare Diseases,"Cough, Weight loss, Fatigue, Night sweats",Adult,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment",Elderly,Male,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Flu,Common Illnesses,"Sore throat, Body aches, Cough",Adult,Any,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain",Teen,Any,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment, Confusion",Teen,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Diabetes,Chronic Illness,"Increased thirst, Blurred vision",Teen,Female,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Eczema,Dermatological,"Dryness, Red patches, Itchy skin",Teen,Male,Mild,Dermatologist,Consultation and standard treatment protocols
Stroke,Specialized Chronic Diseases,"Confusion, Trouble walking",Teen,Any,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Asthma,Chronic Illness,"Shortness of breath, Wheezing, Chest tightness",Elderly,Male,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Heart Attack,Emergency Care,"Shortness of breath, Sweating, Nausea, Chest pain",Child,Female,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Tuberculosis,Rare Diseases,"Weight loss, Fatigue, Cough, Night sweats",Elderly,Female,Mild,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Flu,Common Illnesses,"Body aches, Fever, Cough",Child,Female,Severe,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Tuberculosis,Rare Diseases,"Cough, Weight loss, Night sweats",Elderly,Any,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Poor judgment",Teen,Female,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings, Memory loss, Confusion",Adult,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Asthma,Chronic Illness,"Chest tightness, Wheezing, Shortness of breath, Cough",Elderly,Female,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Tuberculosis,Rare Diseases,"Night sweats, Weight loss, Cough",Adult,Male,Mild,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Tuberculosis,Rare Diseases,"Cough, Fatigue, Night sweats",Teen,Any,Severe,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Eczema,Dermatological,"Red patches, Itchy skin, Dryness",Child,Any,Moderate,Dermatologist,Consultation and standard treatment protocols
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems",Adult,Male,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Asthma,Chronic Illness,"Chest tightness, Cough, Wheezing, Shortness of breath",Adult,Male,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Blurred vision, Frequent urination, Increased thirst, Fatigue",Child,Any,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Flu,Common Illnesses,"Body aches, Cough, Fever",Elderly,Male,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Appendicitis,Surgical Conditions,"Loss of appetite, Vomiting",Teen,Male,Mild,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Flu,Common Illnesses,"Body aches, Chills, Fever, Cough",Child,Female,Severe,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
PCOS,Chronic Disorder,"Weight gain, Irregular periods",Child,Female,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Asthma,Chronic Illness,"Chest tightness, Cough, Shortness of breath",Adult,Any,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Eczema,Dermatological,"Red patches, Swelling, Dryness, Itchy skin",Child,Any,Mild,Dermatologist,Consultation and standard treatment protocols
Heart Attack,Emergency Care,"Nausea, Shortness of breath",Child,Male,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Diabetes,Chronic Illness,"Frequent urination, Blurred vision",Teen,Female,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
PCOS,Chronic Disorder,"Weight gain, Acne, Hair thinning, Irregular periods",Child,Any,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Asthma,Chronic Illness,"Cough, Shortness of breath, Wheezing, Chest tightness",Elderly,Female,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness, Confusion, Vision problems",Child,Male,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
PCOS,Chronic Disorder,"Irregular periods, Acne",Teen,Any,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Tuberculosis,Rare Diseases,"Fatigue, Night sweats",Adult,Female,Mild,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
PCOS,Chronic Disorder,"Irregular periods, Acne, Weight gain",Child,Male,Mild,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Asthma,Chronic Illness,"Shortness of breath, Wheezing, Cough",Adult,Female,Mild,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Asthma,Chronic Illness,"Wheezing, Chest tightness, Shortness of breath",Elderly,Any,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Asthma,Chronic Illness,"Cough, Wheezing",Child,Any,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Stroke,Specialized Chronic Diseases,"Confusion, Numbness, Vision problems",Teen,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Eczema,Dermatological,"Swelling, Dryness, Red patches",Child,Any,Moderate,Dermatologist,Consultation and standard treatment protocols
Tuberculosis,Rare Diseases,"Night sweats, Cough, Fatigue, Weight loss",Elderly,Male,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Asthma,Chronic Illness,"Chest tightness, Wheezing, Shortness of breath",Elderly,Female,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Asthma,Chronic Illness,"Cough, Wheezing",Teen,Male,Mild,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Heart Attack,Emergency Care,"Chest pain, Shortness of breath",Adult,Male,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
PCOS,Chronic Disorder,"Weight gain, Acne",Adult,Female,Severe,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Tuberculosis,Rare Diseases,"Cough, Fatigue",Teen,Any,Severe,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Appendicitis,Surgical Conditions,"Vomiting, Nausea",Child,Any,Mild,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Asthma,Chronic Illness,"Wheezing, Chest tightness, Shortness of breath, Cough",Teen,Any,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Increased thirst, Blurred vision, Frequent urination",Adult,Any,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Diabetes,Chronic Illness,"Fatigue, Frequent urination, Increased thirst",Adult,Female,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Flu,Common Illnesses,"Body aches, Chills, Sore throat, Cough",Elderly,Female,Severe,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Stroke,Specialized Chronic Diseases,"Confusion, Vision problems, Trouble walking, Numbness",Elderly,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Heart Attack,Emergency Care,"Shortness of breath, Nausea, Chest pain",Adult,Female,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Poor judgment",Elderly,Female,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Asthma,Chronic Illness,"Wheezing, Shortness of breath, Cough, Chest tightness",Adult,Female,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Memory loss, Confusion, Poor judgment",Elderly,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Flu,Common Illnesses,"Fever, Cough, Body aches, Sore throat",Adult,Any,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Increased thirst, Fatigue, Blurred vision",Adult,Male,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Stroke,Specialized Chronic Diseases,"Trouble walking, Confusion, Numbness",Adult,Male,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain, Loss of appetite",Child,Male,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Memory loss",Elderly,Male,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Asthma,Chronic Illness,"Wheezing, Cough, Shortness of breath, Chest tightness",Teen,Male,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Eczema,Dermatological,"Itchy skin, Red patches, Swelling",Adult,Female,Moderate,Dermatologist,Consultation and standard treatment protocols
Diabetes,Chronic Illness,"Blurred vision, Increased thirst",Teen,Male,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Appendicitis,Surgical Conditions,"Abdominal pain, Loss of appetite, Vomiting",Elderly,Any,Severe,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Confusion",Adult,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
PCOS,Chronic Disorder,"Weight gain, Irregular periods, Hair thinning",Child,Male,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Heart Attack,Emergency Care,"Shortness of breath, Sweating",Child,Female,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Confusion, Memory loss",Elderly,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Asthma,Chronic Illness,"Shortness of breath, Chest tightness",Elderly,Any,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Frequent urination, Blurred vision, Increased thirst",Elderly,Female,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Heart Attack,Emergency Care,"Shortness of breath, Sweating, Nausea, Chest pain",Elderly,Any,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Flu,Common Illnesses,"Chills, Body aches, Sore throat",Teen,Female,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Memory loss, Mood swings, Poor judgment",Elderly,Male,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Eczema,Dermatological,"Dryness, Swelling",Adult,Female,Mild,Dermatologist,Consultation and standard treatment protocols
Asthma,Chronic Illness,"Cough, Wheezing",Adult,Male,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Stroke,Specialized Chronic Diseases,"Confusion, Vision problems, Numbness",Child,Any,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Flu,Common Illnesses,"Fever, Body aches, Chills, Sore throat",Adult,Female,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Mood swings, Poor judgment, Memory loss",Teen,Female,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
PCOS,Chronic Disorder,"Weight gain, Acne, Irregular periods, Hair thinning",Child,Male,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Flu,Common Illnesses,"Cough, Fever, Chills, Body aches",Teen,Any,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Tuberculosis,Rare Diseases,"Cough, Night sweats",Adult,Male,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain",Child,Any,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Eczema,Dermatological,"Itchy skin, Dryness, Swelling",Elderly,Female,Moderate,Dermatologist,Consultation and standard treatment protocols
Appendicitis,Surgical Conditions,"Abdominal pain, Nausea, Vomiting",Adult,Male,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite",Adult,Any,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain",Child,Male,Severe,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Tuberculosis,Rare Diseases,"Fatigue, Cough, Weight loss, Night sweats",Adult,Female,Mild,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Eczema,Dermatological,"Dryness, Red patches, Itchy skin, Swelling",Teen,Male,Severe,Dermatologist,Consultation and standard treatment protocols
Appendicitis,Surgical Conditions,"Nausea, Vomiting, Abdominal pain",Child,Male,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Eczema,Dermatological,"Itchy skin, Red patches, Dryness, Swelling",Teen,Female,Mild,Dermatologist,Consultation and standard treatment protocols
Asthma,Chronic Illness,"Shortness of breath, Chest tightness",Teen,Any,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Tuberculosis,Rare Diseases,"Night sweats, Weight loss, Fatigue",Child,Female,Severe,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Flu,Common Illnesses,"Fever, Sore throat, Cough",Child,Any,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Eczema,Dermatological,"Itchy skin, Swelling, Dryness, Red patches",Elderly,Any,Moderate,Dermatologist,Consultation and standard treatment protocols
Diabetes,Chronic Illness,"Blurred vision, Increased thirst, Fatigue, Frequent urination",Child,Male,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
PCOS,Chronic Disorder,"Irregular periods, Hair thinning, Weight gain",Adult,Any,Mild,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Tuberculosis,Rare Diseases,"Night sweats, Fatigue, Cough",Elderly,Female,Mild,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
