Disease,Category,Symptoms,CommonAgeGroup,Sex,Severity,Specialist
Eczema,Dermatological,"Swelling, Red patches",Elderly,Any,Moderate,Dermatologist
Eczema,Dermatological,"Dryness, Red patches",Teen,Any,Moderate,Dermatologist
Eczema,Dermatological,"Red patches, Swelling, Dryness",Child,Any,Mild,Dermatologist
Diabetes,Chronic Illness,"Blurred vision, Increased thirst",Elderly,Male,Severe,Endocrinologist
Stroke,Specialized Chronic Diseases,"Vision problems, Trouble walking",Adult,Male,Moderate,Neurologist
Diabetes,Chronic Illness,"Fatigue, Increased thirst, Blurred vision, Frequent urination",Teen,Male,Moderate,Endocrinologist
Diabetes,Chronic Illness,"Blurred vision, Fatigue, Frequent urination, Increased thirst",Elderly,Any,Severe,Endocrinologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment, Confusion, Memory loss",Adult,Male,Severe,Neurologist
Asthma,Chronic Illness,"Chest tightness, Shortness of breath, Cough",Elderly,Male,Moderate,Pulmonologist
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain",Child,Any,Mild,Surgeon
Stroke,Specialized Chronic Diseases,"Vision problems, Trouble walking, Numbness, Confusion",Teen,Any,Moderate,Neurologist
Tuberculosis,Rare Diseases,"Cough, Weight loss, Fatigue, Night sweats",Adult,Female,Moderate,Infectious Disease Specialist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment",Elderly,Male,Severe,Neurologist
Flu,Common Illnesses,"Sore throat, Body aches, Cough",Adult,Any,Moderate,General Physician
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain",Teen,Any,Moderate,Surgeon
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment, Confusion",Teen,Male,Moderate,Neurologist
Diabetes,Chronic Illness,"Increased thirst, Blurred vision",Teen,Female,Moderate,Endocrinologist
Eczema,Dermatological,"Dryness, Red patches, Itchy skin",Teen,Male,Mild,Dermatologist
Stroke,Specialized Chronic Diseases,"Confusion, Trouble walking",Teen,Any,Mild,Neurologist
Asthma,Chronic Illness,"Shortness of breath, Wheezing, Chest tightness",Elderly,Male,Severe,Pulmonologist
Heart Attack,Emergency Care,"Shortness of breath, Sweating, Nausea, Chest pain",Child,Female,Severe,Cardiologist
Tuberculosis,Rare Diseases,"Weight loss, Fatigue, Cough, Night sweats",Elderly,Female,Mild,Infectious Disease Specialist
Flu,Common Illnesses,"Body aches, Fever, Cough",Child,Female,Severe,General Physician
Tuberculosis,Rare Diseases,"Cough, Weight loss, Night sweats",Elderly,Any,Moderate,Infectious Disease Specialist
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Poor judgment",Teen,Female,Severe,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings, Memory loss, Confusion",Adult,Female,Moderate,Neurologist
Asthma,Chronic Illness,"Chest tightness, Wheezing, Shortness of breath, Cough",Elderly,Female,Moderate,Pulmonologist
Tuberculosis,Rare Diseases,"Night sweats, Weight loss, Cough",Adult,Male,Mild,Infectious Disease Specialist
Tuberculosis,Rare Diseases,"Cough, Fatigue, Night sweats",Teen,Any,Severe,Infectious Disease Specialist
Eczema,Dermatological,"Red patches, Itchy skin, Dryness",Child,Any,Moderate,Dermatologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems",Adult,Male,Mild,Neurologist
Asthma,Chronic Illness,"Chest tightness, Cough, Wheezing, Shortness of breath",Adult,Male,Severe,Pulmonologist
Diabetes,Chronic Illness,"Blurred vision, Frequent urination, Increased thirst, Fatigue",Child,Any,Mild,Endocrinologist
Flu,Common Illnesses,"Body aches, Cough, Fever",Elderly,Male,Moderate,General Physician
Appendicitis,Surgical Conditions,"Loss of appetite, Vomiting",Teen,Male,Mild,Surgeon
Flu,Common Illnesses,"Body aches, Chills, Fever, Cough",Child,Female,Severe,General Physician
PCOS,Chronic Disorder,"Weight gain, Irregular periods",Child,Female,Moderate,Gynecologist
Asthma,Chronic Illness,"Chest tightness, Cough, Shortness of breath",Adult,Any,Moderate,Pulmonologist
Eczema,Dermatological,"Red patches, Swelling, Dryness, Itchy skin",Child,Any,Mild,Dermatologist
Heart Attack,Emergency Care,"Nausea, Shortness of breath",Child,Male,Moderate,Cardiologist
Diabetes,Chronic Illness,"Frequent urination, Blurred vision",Teen,Female,Mild,Endocrinologist
PCOS,Chronic Disorder,"Weight gain, Acne, Hair thinning, Irregular periods",Child,Any,Moderate,Gynecologist
Asthma,Chronic Illness,"Cough, Shortness of breath, Wheezing, Chest tightness",Elderly,Female,Moderate,Pulmonologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness, Confusion, Vision problems",Child,Male,Severe,Neurologist
PCOS,Chronic Disorder,"Irregular periods, Acne",Teen,Any,Moderate,Gynecologist
Tuberculosis,Rare Diseases,"Fatigue, Night sweats",Adult,Female,Mild,Infectious Disease Specialist
PCOS,Chronic Disorder,"Irregular periods, Acne, Weight gain",Child,Male,Mild,Gynecologist
Asthma,Chronic Illness,"Shortness of breath, Wheezing, Cough",Adult,Female,Mild,Pulmonologist
Asthma,Chronic Illness,"Wheezing, Chest tightness, Shortness of breath",Elderly,Any,Moderate,Pulmonologist
Asthma,Chronic Illness,"Cough, Wheezing",Child,Any,Severe,Pulmonologist
Stroke,Specialized Chronic Diseases,"Confusion, Numbness, Vision problems",Teen,Female,Moderate,Neurologist
Eczema,Dermatological,"Swelling, Dryness, Red patches",Child,Any,Moderate,Dermatologist
Tuberculosis,Rare Diseases,"Night sweats, Cough, Fatigue, Weight loss",Elderly,Male,Moderate,Infectious Disease Specialist
Asthma,Chronic Illness,"Chest tightness, Wheezing, Shortness of breath",Elderly,Female,Moderate,Pulmonologist
Asthma,Chronic Illness,"Cough, Wheezing",Teen,Male,Mild,Pulmonologist
Heart Attack,Emergency Care,"Chest pain, Shortness of breath",Adult,Male,Moderate,Cardiologist
PCOS,Chronic Disorder,"Weight gain, Acne",Adult,Female,Severe,Gynecologist
Tuberculosis,Rare Diseases,"Cough, Fatigue",Teen,Any,Severe,Infectious Disease Specialist
Appendicitis,Surgical Conditions,"Vomiting, Nausea",Child,Any,Mild,Surgeon
Asthma,Chronic Illness,"Wheezing, Chest tightness, Shortness of breath, Cough",Teen,Any,Moderate,Pulmonologist
Diabetes,Chronic Illness,"Increased thirst, Blurred vision, Frequent urination",Adult,Any,Moderate,Endocrinologist
Diabetes,Chronic Illness,"Fatigue, Frequent urination, Increased thirst",Adult,Female,Moderate,Endocrinologist
Flu,Common Illnesses,"Body aches, Chills, Sore throat, Cough",Elderly,Female,Severe,General Physician
Stroke,Specialized Chronic Diseases,"Confusion, Vision problems, Trouble walking, Numbness",Elderly,Any,Moderate,Neurologist
Heart Attack,Emergency Care,"Shortness of breath, Nausea, Chest pain",Adult,Female,Moderate,Cardiologist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Poor judgment",Elderly,Female,Severe,Neurologist
Asthma,Chronic Illness,"Wheezing, Shortness of breath, Cough, Chest tightness",Adult,Female,Moderate,Pulmonologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Memory loss, Confusion, Poor judgment",Elderly,Female,Moderate,Neurologist
Flu,Common Illnesses,"Fever, Cough, Body aches, Sore throat",Adult,Any,Moderate,General Physician
Diabetes,Chronic Illness,"Increased thirst, Fatigue, Blurred vision",Adult,Male,Mild,Endocrinologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Confusion, Numbness",Adult,Male,Severe,Neurologist
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain, Loss of appetite",Child,Male,Moderate,Surgeon
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Memory loss",Elderly,Male,Mild,Neurologist
Asthma,Chronic Illness,"Wheezing, Cough, Shortness of breath, Chest tightness",Teen,Male,Severe,Pulmonologist
Eczema,Dermatological,"Itchy skin, Red patches, Swelling",Adult,Female,Moderate,Dermatologist
Diabetes,Chronic Illness,"Blurred vision, Increased thirst",Teen,Male,Moderate,Endocrinologist
Appendicitis,Surgical Conditions,"Abdominal pain, Loss of appetite, Vomiting",Elderly,Any,Severe,Surgeon
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Confusion",Adult,Any,Moderate,Neurologist
PCOS,Chronic Disorder,"Weight gain, Irregular periods, Hair thinning",Child,Male,Moderate,Gynecologist
Heart Attack,Emergency Care,"Shortness of breath, Sweating",Child,Female,Moderate,Cardiologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Confusion, Memory loss",Elderly,Male,Moderate,Neurologist
Asthma,Chronic Illness,"Shortness of breath, Chest tightness",Elderly,Any,Moderate,Pulmonologist
Diabetes,Chronic Illness,"Frequent urination, Blurred vision, Increased thirst",Elderly,Female,Moderate,Endocrinologist
Heart Attack,Emergency Care,"Shortness of breath, Sweating, Nausea, Chest pain",Elderly,Any,Moderate,Cardiologist
Flu,Common Illnesses,"Chills, Body aches, Sore throat",Teen,Female,Moderate,General Physician
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Memory loss, Mood swings, Poor judgment",Elderly,Male,Severe,Neurologist
Eczema,Dermatological,"Dryness, Swelling",Adult,Female,Mild,Dermatologist
Asthma,Chronic Illness,"Cough, Wheezing",Adult,Male,Moderate,Pulmonologist
Stroke,Specialized Chronic Diseases,"Confusion, Vision problems, Numbness",Child,Any,Mild,Neurologist
Flu,Common Illnesses,"Fever, Body aches, Chills, Sore throat",Adult,Female,Moderate,General Physician
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Mood swings, Poor judgment, Memory loss",Teen,Female,Mild,Neurologist
PCOS,Chronic Disorder,"Weight gain, Acne, Irregular periods, Hair thinning",Child,Male,Moderate,Gynecologist
Flu,Common Illnesses,"Cough, Fever, Chills, Body aches",Teen,Any,Moderate,General Physician
Tuberculosis,Rare Diseases,"Cough, Night sweats",Adult,Male,Moderate,Infectious Disease Specialist
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain",Child,Any,Moderate,Surgeon
Eczema,Dermatological,"Itchy skin, Dryness, Swelling",Elderly,Female,Moderate,Dermatologist
Appendicitis,Surgical Conditions,"Abdominal pain, Nausea, Vomiting",Adult,Male,Moderate,Surgeon
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite",Adult,Any,Moderate,Surgeon
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain",Child,Male,Severe,Surgeon
Tuberculosis,Rare Diseases,"Fatigue, Cough, Weight loss, Night sweats",Adult,Female,Mild,Infectious Disease Specialist
Eczema,Dermatological,"Dryness, Red patches, Itchy skin, Swelling",Teen,Male,Severe,Dermatologist
Appendicitis,Surgical Conditions,"Nausea, Vomiting, Abdominal pain",Child,Male,Moderate,Surgeon
Eczema,Dermatological,"Itchy skin, Red patches, Dryness, Swelling",Teen,Female,Mild,Dermatologist
Asthma,Chronic Illness,"Shortness of breath, Chest tightness",Teen,Any,Severe,Pulmonologist
Tuberculosis,Rare Diseases,"Night sweats, Weight loss, Fatigue",Child,Female,Severe,Infectious Disease Specialist
Flu,Common Illnesses,"Fever, Sore throat, Cough",Child,Any,Mild,General Physician
Eczema,Dermatological,"Itchy skin, Swelling, Dryness, Red patches",Elderly,Any,Moderate,Dermatologist
Diabetes,Chronic Illness,"Blurred vision, Increased thirst, Fatigue, Frequent urination",Child,Male,Moderate,Endocrinologist
PCOS,Chronic Disorder,"Irregular periods, Hair thinning, Weight gain",Adult,Any,Mild,Gynecologist
Tuberculosis,Rare Diseases,"Night sweats, Fatigue, Cough",Elderly,Female,Mild,Infectious Disease Specialist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Confusion, Poor judgment, Memory loss",Child,Male,Moderate,Neurologist
PCOS,Chronic Disorder,"Hair thinning, Weight gain, Irregular periods, Acne",Child,Female,Mild,Gynecologist
Heart Attack,Emergency Care,"Shortness of breath, Sweating",Child,Female,Moderate,Cardiologist
Eczema,Dermatological,"Swelling, Itchy skin",Child,Any,Mild,Dermatologist
Stroke,Specialized Chronic Diseases,"Confusion, Numbness, Vision problems, Trouble walking",Teen,Any,Mild,Neurologist
PCOS,Chronic Disorder,"Irregular periods, Hair thinning",Child,Male,Mild,Gynecologist
Appendicitis,Surgical Conditions,"Abdominal pain, Vomiting, Nausea, Loss of appetite",Adult,Male,Mild,Surgeon
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Memory loss",Elderly,Female,Severe,Neurologist
Stroke,Specialized Chronic Diseases,"Confusion, Trouble walking, Vision problems",Elderly,Female,Mild,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment, Memory loss",Teen,Female,Severe,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment, Confusion, Memory loss",Adult,Male,Moderate,Neurologist
Eczema,Dermatological,"Red patches, Dryness, Itchy skin, Swelling",Elderly,Any,Moderate,Dermatologist
PCOS,Chronic Disorder,"Acne, Hair thinning, Irregular periods",Child,Male,Mild,Gynecologist
Tuberculosis,Rare Diseases,"Weight loss, Fatigue, Night sweats",Child,Female,Mild,Infectious Disease Specialist
Diabetes,Chronic Illness,"Fatigue, Frequent urination, Blurred vision, Increased thirst",Child,Female,Severe,Endocrinologist
PCOS,Chronic Disorder,"Hair thinning, Irregular periods, Weight gain, Acne",Teen,Female,Moderate,Gynecologist
Heart Attack,Emergency Care,"Shortness of breath, Chest pain",Child,Male,Moderate,Cardiologist
Eczema,Dermatological,"Red patches, Swelling",Elderly,Female,Moderate,Dermatologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness, Vision problems, Confusion",Teen,Female,Mild,Neurologist
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain",Child,Male,Mild,Surgeon
Diabetes,Chronic Illness,"Frequent urination, Blurred vision, Fatigue",Elderly,Any,Moderate,Endocrinologist
Asthma,Chronic Illness,"Shortness of breath, Wheezing",Child,Male,Severe,Pulmonologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Confusion, Vision problems",Elderly,Any,Severe,Neurologist
Asthma,Chronic Illness,"Chest tightness, Wheezing",Elderly,Male,Mild,Pulmonologist
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite, Vomiting",Elderly,Female,Moderate,Surgeon
Stroke,Specialized Chronic Diseases,"Vision problems, Confusion",Elderly,Male,Severe,Neurologist
Diabetes,Chronic Illness,"Increased thirst, Frequent urination, Blurred vision",Child,Female,Mild,Endocrinologist
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking, Confusion",Teen,Female,Severe,Neurologist
Heart Attack,Emergency Care,"Chest pain, Sweating",Child,Female,Moderate,Cardiologist
Flu,Common Illnesses,"Fever, Chills",Child,Female,Severe,General Physician
Eczema,Dermatological,"Itchy skin, Red patches",Child,Female,Moderate,Dermatologist
Diabetes,Chronic Illness,"Blurred vision, Increased thirst",Teen,Female,Moderate,Endocrinologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness",Child,Any,Severe,Neurologist
Diabetes,Chronic Illness,"Increased thirst, Frequent urination",Adult,Male,Mild,Endocrinologist
Asthma,Chronic Illness,"Chest tightness, Cough, Shortness of breath, Wheezing",Elderly,Any,Mild,Pulmonologist
PCOS,Chronic Disorder,"Irregular periods, Weight gain",Elderly,Male,Severe,Gynecologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness",Teen,Female,Severe,Neurologist
Eczema,Dermatological,"Dryness, Itchy skin, Swelling",Elderly,Female,Moderate,Dermatologist
Tuberculosis,Rare Diseases,"Fatigue, Cough",Child,Male,Moderate,Infectious Disease Specialist
Flu,Common Illnesses,"Body aches, Chills, Cough, Sore throat",Adult,Female,Mild,General Physician
Heart Attack,Emergency Care,"Nausea, Sweating",Teen,Female,Moderate,Cardiologist
Diabetes,Chronic Illness,"Increased thirst, Fatigue, Blurred vision",Elderly,Any,Moderate,Endocrinologist
Heart Attack,Emergency Care,"Nausea, Sweating, Shortness of breath, Chest pain",Child,Male,Severe,Cardiologist
Eczema,Dermatological,"Itchy skin, Dryness",Elderly,Female,Mild,Dermatologist
Tuberculosis,Rare Diseases,"Night sweats, Weight loss, Fatigue, Cough",Teen,Any,Severe,Infectious Disease Specialist
PCOS,Chronic Disorder,"Acne, Hair thinning, Irregular periods",Child,Male,Moderate,Gynecologist
Diabetes,Chronic Illness,"Blurred vision, Frequent urination",Child,Male,Moderate,Endocrinologist
Asthma,Chronic Illness,"Cough, Shortness of breath, Wheezing, Chest tightness",Elderly,Any,Moderate,Pulmonologist
Asthma,Chronic Illness,"Wheezing, Cough, Chest tightness, Shortness of breath",Adult,Female,Severe,Pulmonologist
Diabetes,Chronic Illness,"Frequent urination, Increased thirst",Child,Female,Moderate,Endocrinologist
Tuberculosis,Rare Diseases,"Fatigue, Weight loss",Adult,Male,Severe,Infectious Disease Specialist
PCOS,Chronic Disorder,"Hair thinning, Acne, Weight gain",Adult,Male,Moderate,Gynecologist
Flu,Common Illnesses,"Chills, Body aches, Sore throat, Fever",Elderly,Any,Mild,General Physician
Asthma,Chronic Illness,"Shortness of breath, Chest tightness, Wheezing",Child,Male,Moderate,Pulmonologist
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Mood swings, Poor judgment, Confusion",Elderly,Male,Mild,Neurologist
Tuberculosis,Rare Diseases,"Night sweats, Cough",Teen,Any,Mild,Infectious Disease Specialist
Asthma,Chronic Illness,"Chest tightness, Shortness of breath, Wheezing",Teen,Any,Mild,Pulmonologist
PCOS,Chronic Disorder,"Acne, Hair thinning",Teen,Female,Moderate,Gynecologist
Appendicitis,Surgical Conditions,"Loss of appetite, Vomiting",Adult,Male,Moderate,Surgeon
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings, Memory loss",Adult,Male,Moderate,Neurologist
Asthma,Chronic Illness,"Cough, Wheezing",Child,Male,Mild,Pulmonologist
Heart Attack,Emergency Care,"Sweating, Nausea, Chest pain",Child,Male,Mild,Cardiologist
Diabetes,Chronic Illness,"Frequent urination, Fatigue",Adult,Female,Severe,Endocrinologist
Tuberculosis,Rare Diseases,"Night sweats, Fatigue, Weight loss",Teen,Female,Mild,Infectious Disease Specialist
Eczema,Dermatological,"Itchy skin, Swelling",Teen,Female,Severe,Dermatologist
Appendicitis,Surgical Conditions,"Nausea, Vomiting, Loss of appetite, Abdominal pain",Elderly,Male,Moderate,Surgeon
Stroke,Specialized Chronic Diseases,"Numbness, Confusion, Vision problems",Adult,Female,Moderate,Neurologist
Heart Attack,Emergency Care,"Nausea, Sweating, Shortness of breath, Chest pain",Teen,Any,Severe,Cardiologist
Heart Attack,Emergency Care,"Nausea, Shortness of breath, Chest pain",Adult,Any,Severe,Cardiologist
Stroke,Specialized Chronic Diseases,"Confusion, Numbness, Vision problems",Adult,Any,Mild,Neurologist
Eczema,Dermatological,"Itchy skin, Dryness, Red patches, Swelling",Child,Female,Moderate,Dermatologist
Heart Attack,Emergency Care,"Nausea, Shortness of breath, Sweating, Chest pain",Adult,Female,Severe,Cardiologist
Tuberculosis,Rare Diseases,"Night sweats, Cough, Weight loss, Fatigue",Adult,Female,Moderate,Infectious Disease Specialist
Heart Attack,Emergency Care,"Sweating, Shortness of breath",Child,Male,Moderate,Cardiologist
Asthma,Chronic Illness,"Shortness of breath, Cough",Adult,Any,Severe,Pulmonologist
PCOS,Chronic Disorder,"Weight gain, Acne",Child,Male,Moderate,Gynecologist
Heart Attack,Emergency Care,"Nausea, Chest pain, Sweating",Adult,Male,Moderate,Cardiologist
Asthma,Chronic Illness,"Wheezing, Chest tightness",Elderly,Male,Moderate,Pulmonologist
Appendicitis,Surgical Conditions,"Nausea, Vomiting, Loss of appetite",Child,Male,Moderate,Surgeon
Asthma,Chronic Illness,"Wheezing, Shortness of breath, Chest tightness, Cough",Adult,Male,Moderate,Pulmonologist
Asthma,Chronic Illness,"Wheezing, Cough, Chest tightness",Adult,Any,Moderate,Pulmonologist
Flu,Common Illnesses,"Sore throat, Body aches, Fever, Chills",Adult,Any,Moderate,General Physician
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Confusion, Mood swings, Poor judgment",Teen,Male,Mild,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Memory loss, Confusion",Adult,Male,Mild,Neurologist
Flu,Common Illnesses,"Chills, Sore throat, Fever",Elderly,Female,Mild,General Physician
Asthma,Chronic Illness,"Cough, Wheezing, Shortness of breath, Chest tightness",Adult,Any,Moderate,Pulmonologist
Eczema,Dermatological,"Swelling, Dryness",Elderly,Female,Moderate,Dermatologist
Diabetes,Chronic Illness,"Blurred vision, Increased thirst",Child,Any,Moderate,Endocrinologist
Eczema,Dermatological,"Dryness, Swelling",Adult,Any,Severe,Dermatologist
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking",Elderly,Male,Severe,Neurologist
Diabetes,Chronic Illness,"Blurred vision, Frequent urination, Fatigue, Increased thirst",Adult,Female,Moderate,Endocrinologist
Flu,Common Illnesses,"Body aches, Sore throat",Child,Male,Mild,General Physician
Heart Attack,Emergency Care,"Nausea, Chest pain, Sweating, Shortness of breath",Adult,Female,Severe,Cardiologist
Flu,Common Illnesses,"Body aches, Chills",Child,Any,Moderate,General Physician
Appendicitis,Surgical Conditions,"Vomiting, Nausea, Loss of appetite, Abdominal pain",Elderly,Male,Moderate,Surgeon
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite, Abdominal pain",Adult,Female,Severe,Surgeon
Eczema,Dermatological,"Dryness, Red patches",Teen,Female,Mild,Dermatologist
PCOS,Chronic Disorder,"Acne, Weight gain, Irregular periods",Elderly,Any,Severe,Gynecologist
Eczema,Dermatological,"Itchy skin, Dryness, Red patches",Teen,Male,Mild,Dermatologist
Tuberculosis,Rare Diseases,"Weight loss, Night sweats, Fatigue, Cough",Elderly,Male,Mild,Infectious Disease Specialist
Asthma,Chronic Illness,"Chest tightness, Shortness of breath, Wheezing",Adult,Female,Severe,Pulmonologist
Tuberculosis,Rare Diseases,"Night sweats, Cough",Child,Male,Moderate,Infectious Disease Specialist
Eczema,Dermatological,"Swelling, Itchy skin",Adult,Male,Mild,Dermatologist
PCOS,Chronic Disorder,"Hair thinning, Acne, Irregular periods, Weight gain",Teen,Any,Mild,Gynecologist
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite, Abdominal pain",Child,Male,Moderate,Surgeon
Heart Attack,Emergency Care,"Nausea, Sweating",Adult,Male,Mild,Cardiologist
Tuberculosis,Rare Diseases,"Fatigue, Night sweats, Weight loss, Cough",Child,Male,Severe,Infectious Disease Specialist
Heart Attack,Emergency Care,"Nausea, Chest pain",Child,Female,Moderate,Cardiologist
PCOS,Chronic Disorder,"Weight gain, Irregular periods, Acne, Hair thinning",Elderly,Any,Severe,Gynecologist
Tuberculosis,Rare Diseases,"Night sweats, Fatigue, Weight loss",Child,Male,Moderate,Infectious Disease Specialist
